acc	evalue_clade1	score_clade1	evalue_clade2	score_clade2
AJQ76117.1	1.2e-184	626.4	5.6e-07	40.9
AKD10730.1	1.2e-184	626.4	5.6e-07	40.9
QCS71599.1	1.2e-184	626.4	5.6e-07	40.9
AHW11590.1	1.6e-184	626.0	1.2e-06	39.8
AWE27603.1	1.6e-184	626.0	1.2e-06	39.8
QBM54692.1	1.6e-184	626.0	1.2e-06	39.8
QGR38278.1	1.6e-184	626.0	1.2e-06	39.8
ARO92394.1	2.2e-184	625.6	2.1e-06	39.0
SQI49821.1	2.8e-184	625.2	1e-06	40.0
QIY49875.1	3e-184	625.1	6.6e-07	40.7
CEI45015.1	3.4e-184	624.9	2.5e-06	38.8
QDF09205.1	3.4e-184	624.9	2.5e-06	38.8
QIL61294.1	3.4e-184	624.9	2.5e-06	38.8
QJU88896.1	3.4e-184	624.9	2.5e-06	38.8
QJU93521.1	3.4e-184	624.9	2.5e-06	38.8
AZT22552.1	3.5e-184	624.9	4.3e-06	38.0
AZT48986.1	3.5e-184	624.9	4.3e-06	38.0
AZT53213.1	3.5e-184	624.9	4.3e-06	38.0
SQH91582.1	3.5e-184	624.9	5.1e-06	37.7
SQJ36368.1	3.7e-184	624.8	2.7e-06	38.7
ALI11324.1	4.5e-184	624.5	2.6e-09	48.6
AGF83303.1	6e-184	624.1	4.5e-09	47.8
QEC85668.1	6e-184	624.1	4.5e-09	47.8
AXC83921.1	6.2e-184	624.1	3.2e-06	38.4
SQI67364.1	6.2e-184	624.1	3.2e-06	38.4
ACH52949.1	6.7e-184	623.9	5.8e-09	47.4
AHB46237.1	6.7e-184	623.9	5.8e-09	47.4
AKC50616.1	6.7e-184	623.9	5.8e-09	47.4
AMW36400.1	6.7e-184	623.9	5.8e-09	47.4
QQI12389.1	6.7e-184	623.9	5.8e-09	47.4
QQJ01030.1	6.7e-184	623.9	5.8e-09	47.4
AHW17790.1	6.7e-184	623.9	1.8e-06	39.3
AFH47509.1	6.9e-184	623.9	2.8e-08	45.2
QQH50246.1	7e-184	623.9	2.7e-09	48.5
QEC95326.1	7.2e-184	623.8	1.3e-06	39.7
QIY04124.1	7.2e-184	623.8	1.3e-06	39.7
ANF76207.1	7.4e-184	623.8	1.6e-08	46.0
QEO52067.1	7.4e-184	623.8	1.6e-08	46.0
QJB58697.1	7.4e-184	623.8	1.6e-08	46.0
QPD09910.1	7.4e-184	623.8	1.6e-08	46.0
QPD14378.1	7.4e-184	623.8	1.6e-08	46.0
QPD18774.1	7.4e-184	623.8	1.6e-08	46.0
QPD23455.1	7.4e-184	623.8	1.6e-08	46.0
QPD27894.1	7.4e-184	623.8	1.6e-08	46.0
QPD32359.1	7.4e-184	623.8	1.6e-08	46.0
AWE43643.1	8.5e-184	623.6	3.2e-06	38.4
QQH83308.1	8.5e-184	623.6	3.2e-06	38.4
QQI07639.1	8.5e-184	623.6	3.2e-06	38.4
AKW05281.1	8.8e-184	623.6	4e-08	44.7
QEC90921.1	1.2e-183	623.2	5.3e-06	37.7
QBM65306.1	1.2e-183	623.1	1.4e-08	46.2
QCC13845.1	1.2e-183	623.1	1.4e-08	46.2
QGR43678.1	1.2e-183	623.1	1.1e-06	39.9
ACH77456.1	1.4e-183	622.9	2.9e-08	45.1
ADO51962.1	1.4e-183	622.9	2.9e-08	45.1
AHO26667.1	1.4e-183	622.9	2.9e-08	45.1
AHO30713.1	1.4e-183	622.9	2.9e-08	45.1
AHO35111.1	1.4e-183	622.9	2.9e-08	45.1
AHO39542.1	1.4e-183	622.9	2.9e-08	45.1
AHO43823.1	1.4e-183	622.9	2.9e-08	45.1
AHO48103.1	1.4e-183	622.9	2.9e-08	45.1
AHO52653.1	1.4e-183	622.9	2.9e-08	45.1
AHO56976.1	1.4e-183	622.9	2.9e-08	45.1
AHO61347.1	1.4e-183	622.9	2.9e-08	45.1
AHO65677.1	1.4e-183	622.9	2.9e-08	45.1
AHO70019.1	1.4e-183	622.9	2.9e-08	45.1
AHO91507.1	1.4e-183	622.9	2.9e-08	45.1
AHO95831.1	1.4e-183	622.9	2.9e-08	45.1
AHP00100.1	1.4e-183	622.9	2.9e-08	45.1
AHP04368.1	1.4e-183	622.9	2.9e-08	45.1
AHP08697.1	1.4e-183	622.9	2.9e-08	45.1
AHP12969.1	1.4e-183	622.9	2.9e-08	45.1
AHP17239.1	1.4e-183	622.9	2.9e-08	45.1
AHP21577.1	1.4e-183	622.9	2.9e-08	45.1
AHP25854.1	1.4e-183	622.9	2.9e-08	45.1
AHP30190.1	1.4e-183	622.9	2.9e-08	45.1
AHP34486.1	1.4e-183	622.9	2.9e-08	45.1
AHP38741.1	1.4e-183	622.9	2.9e-08	45.1
AHP43012.1	1.4e-183	622.9	2.9e-08	45.1
AHP47351.1	1.4e-183	622.9	2.9e-08	45.1
AHP49897.1	1.4e-183	622.9	2.9e-08	45.1
AHP54500.1	1.4e-183	622.9	2.9e-08	45.1
AHP58798.1	1.4e-183	622.9	2.9e-08	45.1
AHP62896.1	1.4e-183	622.9	2.9e-08	45.1
AHP67197.1	1.4e-183	622.9	2.9e-08	45.1
AHP71436.1	1.4e-183	622.9	2.9e-08	45.1
AHP75841.1	1.4e-183	622.9	2.9e-08	45.1
AHP80213.1	1.4e-183	622.9	2.9e-08	45.1
AHP84584.1	1.4e-183	622.9	2.9e-08	45.1
AHP88857.1	1.4e-183	622.9	2.9e-08	45.1
AHP93113.1	1.4e-183	622.9	2.9e-08	45.1
AHP97398.1	1.4e-183	622.9	2.9e-08	45.1
AHQ01680.1	1.4e-183	622.9	2.9e-08	45.1
AHQ05960.1	1.4e-183	622.9	2.9e-08	45.1
AHQ10235.1	1.4e-183	622.9	2.9e-08	45.1
AHQ14570.1	1.4e-183	622.9	2.9e-08	45.1
AHQ18849.1	1.4e-183	622.9	2.9e-08	45.1
AHQ23117.1	1.4e-183	622.9	2.9e-08	45.1
AHQ31628.1	1.4e-183	622.9	2.9e-08	45.1
AHQ35543.1	1.4e-183	622.9	2.9e-08	45.1
AHQ49394.1	1.4e-183	622.9	2.9e-08	45.1
AHQ53657.1	1.4e-183	622.9	2.9e-08	45.1
AHQ57943.1	1.4e-183	622.9	2.9e-08	45.1
AHQ62225.1	1.4e-183	622.9	2.9e-08	45.1
AHQ66518.1	1.4e-183	622.9	2.9e-08	45.1
AHQ70938.1	1.4e-183	622.9	2.9e-08	45.1
AHQ75398.1	1.4e-183	622.9	2.9e-08	45.1
AHQ79763.1	1.4e-183	622.9	2.9e-08	45.1
AHQ84043.1	1.4e-183	622.9	2.9e-08	45.1
AHQ88326.1	1.4e-183	622.9	2.9e-08	45.1
AHQ92608.1	1.4e-183	622.9	2.9e-08	45.1
AHQ96887.1	1.4e-183	622.9	2.9e-08	45.1
AHQ99200.1	1.4e-183	622.9	2.9e-08	45.1
AHR03958.1	1.4e-183	622.9	2.9e-08	45.1
AHR07875.1	1.4e-183	622.9	2.9e-08	45.1
AHR12261.1	1.4e-183	622.9	2.9e-08	45.1
AHR16701.1	1.4e-183	622.9	2.9e-08	45.1
AHR21104.1	1.4e-183	622.9	2.9e-08	45.1
AHR25508.1	1.4e-183	622.9	2.9e-08	45.1
AHR29798.1	1.4e-183	622.9	2.9e-08	45.1
AHR34064.1	1.4e-183	622.9	2.9e-08	45.1
AHR38360.1	1.4e-183	622.9	2.9e-08	45.1
AHR42653.1	1.4e-183	622.9	2.9e-08	45.1
AHR44983.2	1.4e-183	622.9	2.9e-08	45.1
AHR49809.1	1.4e-183	622.9	2.9e-08	45.1
AHR54086.1	1.4e-183	622.9	2.9e-08	45.1
AHR58369.1	1.4e-183	622.9	2.9e-08	45.1
AHR62653.1	1.4e-183	622.9	2.9e-08	45.1
AHR64762.1	1.4e-183	622.9	2.9e-08	45.1
AHR69422.1	1.4e-183	622.9	2.9e-08	45.1
AHR73679.1	1.4e-183	622.9	2.9e-08	45.1
AHR77949.1	1.4e-183	622.9	2.9e-08	45.1
AHR82225.1	1.4e-183	622.9	2.9e-08	45.1
AHR85632.1	1.4e-183	622.9	2.9e-08	45.1
AHR90081.1	1.4e-183	622.9	2.9e-08	45.1
AHR94360.1	1.4e-183	622.9	2.9e-08	45.1
AHR98640.1	1.4e-183	622.9	2.9e-08	45.1
AHS02876.1	1.4e-183	622.9	2.9e-08	45.1
AHS07163.1	1.4e-183	622.9	2.9e-08	45.1
AHS11445.1	1.4e-183	622.9	2.9e-08	45.1
AHS15727.1	1.4e-183	622.9	2.9e-08	45.1
AHS19658.1	1.4e-183	622.9	2.9e-08	45.1
AHS23155.1	1.4e-183	622.9	2.9e-08	45.1
AHS26330.2	1.4e-183	622.9	2.9e-08	45.1
AHS29970.1	1.4e-183	622.9	2.9e-08	45.1
AHS34246.1	1.4e-183	622.9	2.9e-08	45.1
AHS38533.1	1.4e-183	622.9	2.9e-08	45.1
AHS42450.1	1.4e-183	622.9	2.9e-08	45.1
AHS46140.1	1.4e-183	622.9	2.9e-08	45.1
AHS49080.1	1.4e-183	622.9	2.9e-08	45.1
AHS57976.1	1.4e-183	622.9	2.9e-08	45.1
AHS59679.1	1.4e-183	622.9	2.9e-08	45.1
AHS64055.1	1.4e-183	622.9	2.9e-08	45.1
AHS72422.1	1.4e-183	622.9	2.9e-08	45.1
AHS78847.1	1.4e-183	622.9	2.9e-08	45.1
AHS83107.1	1.4e-183	622.9	2.9e-08	45.1
AHS87149.1	1.4e-183	622.9	2.9e-08	45.1
AHS91475.1	1.4e-183	622.9	2.9e-08	45.1
AHS95753.1	1.4e-183	622.9	2.9e-08	45.1
AHT00023.1	1.4e-183	622.9	2.9e-08	45.1
AHT04275.1	1.4e-183	622.9	2.9e-08	45.1
AHT06220.2	1.4e-183	622.9	2.9e-08	45.1
AHT11042.1	1.4e-183	622.9	2.9e-08	45.1
AHT15327.1	1.4e-183	622.9	2.9e-08	45.1
AHT19606.1	1.4e-183	622.9	2.9e-08	45.1
AHT23844.1	1.4e-183	622.9	2.9e-08	45.1
AHT28087.1	1.4e-183	622.9	2.9e-08	45.1
AHT32354.1	1.4e-183	622.9	2.9e-08	45.1
AHT36603.1	1.4e-183	622.9	2.9e-08	45.1
AHT40643.1	1.4e-183	622.9	2.9e-08	45.1
AHT44984.1	1.4e-183	622.9	2.9e-08	45.1
AHT49262.1	1.4e-183	622.9	2.9e-08	45.1
AHT53537.1	1.4e-183	622.9	2.9e-08	45.1
AHT55915.1	1.4e-183	622.9	2.9e-08	45.1
AHT60661.1	1.4e-183	622.9	2.9e-08	45.1
AHT64924.1	1.4e-183	622.9	2.9e-08	45.1
